2025-07-12 20:13:01,521 - INFO - Episode 135 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:13:06,437 - INFO - Episode 136 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:13:11,414 - INFO - Episode 137 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:13:16,370 - INFO - Episode 138 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:13:21,268 - INFO - Episode 139 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:13:26,346 - INFO - Episode 140 - Volume: 0.0 | Demanda: 300000.0
2025-07-12 20:13:31,272 - INFO - Episode 141 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:13:36,112 - INFO - Episode 142 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:13:41,088 - INFO - Episode 143 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:13:45,987 - INFO - Episode 144 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:13:50,902 - INFO - Episode 145 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:13:55,475 - INFO - Episode 146 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:13:59,874 - INFO - Episode 147 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:14:04,695 - INFO - Episode 148 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:14:09,525 - INFO - Episode 149 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:14:14,190 - INFO - Episode 150 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:14:19,113 - INFO - Episode 151 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:14:24,019 - INFO - Episode 152 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:14:28,928 - INFO - Episode 153 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:14:33,953 - INFO - Episode 154 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:14:38,855 - INFO - Episode 155 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:14:43,806 - INFO - Episode 156 - Volume: 0.0 | Demanda: 300000.0
2025-07-12 20:14:48,746 - INFO - Episode 157 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:14:53,682 - INFO - Episode 158 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:14:58,509 - INFO - Episode 159 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:15:03,435 - INFO - Episode 160 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:15:08,308 - INFO - Episode 161 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:15:13,195 - INFO - Episode 162 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:15:17,925 - INFO - Episode 163 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:15:22,406 - INFO - Episode 164 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:15:27,453 - INFO - Episode 165 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:15:32,390 - INFO - Episode 166 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:15:37,280 - INFO - Episode 167 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:15:42,243 - INFO - Episode 168 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:15:47,033 - INFO - Episode 169 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:15:51,782 - INFO - Episode 170 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:15:56,570 - INFO - Episode 171 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:16:01,530 - INFO - Episode 172 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:16:06,449 - INFO - Episode 173 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:16:11,472 - INFO - Episode 174 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:16:15,895 - INFO - Episode 175 - Volume: 0.0 | Demanda: 300000.0
2025-07-12 20:16:20,641 - INFO - Episode 176 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:16:25,702 - INFO - Episode 177 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:16:30,558 - INFO - Episode 178 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:16:35,452 - INFO - Episode 179 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:16:40,367 - INFO - Episode 180 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:16:45,251 - INFO - Episode 181 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:16:50,202 - INFO - Episode 182 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:16:55,140 - INFO - Episode 183 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:17:00,012 - INFO - Episode 184 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:17:04,942 - INFO - Episode 185 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:17:09,816 - INFO - Episode 186 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:17:14,688 - INFO - Episode 187 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:17:19,610 - INFO - Episode 188 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:17:24,533 - INFO - Episode 189 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:17:29,390 - INFO - Episode 190 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:17:34,294 - INFO - Episode 191 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:17:39,113 - INFO - Episode 192 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:17:44,127 - INFO - Episode 193 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:17:49,004 - INFO - Episode 194 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:17:53,639 - INFO - Episode 195 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:17:58,482 - INFO - Episode 196 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:18:03,264 - INFO - Episode 197 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:18:08,022 - INFO - Episode 198 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:18:12,955 - INFO - Episode 199 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:18:17,773 - INFO - Episode 200 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:18:22,502 - INFO - Episode 201 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:18:27,304 - INFO - Episode 202 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:18:32,218 - INFO - Episode 203 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:18:37,235 - INFO - Episode 204 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:18:42,158 - INFO - Episode 205 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:18:47,087 - INFO - Episode 206 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:18:52,073 - INFO - Episode 207 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:18:57,004 - INFO - Episode 208 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:19:01,910 - INFO - Episode 209 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:19:06,944 - INFO - Episode 210 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:19:11,845 - INFO - Episode 211 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:19:16,747 - INFO - Episode 212 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:19:21,805 - INFO - Episode 213 - Volume: 0.0 | Demanda: 300000.0
2025-07-12 20:19:26,663 - INFO - Episode 214 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:19:31,594 - INFO - Episode 215 - Volume: 6000.0 | Demanda: 300000.0
2025-07-12 20:19:36,580 - INFO - Episode 216 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:19:41,475 - INFO - Episode 217 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:19:46,449 - INFO - Episode 218 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:19:51,342 - INFO - Episode 219 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:19:56,200 - INFO - Episode 220 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:20:01,129 - INFO - Episode 221 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:20:06,027 - INFO - Episode 222 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:20:10,881 - INFO - Episode 223 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:20:15,818 - INFO - Episode 224 - Volume: 18000.0 | Demanda: 300000.0
2025-07-12 20:20:20,709 - INFO - Episode 225 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:20:25,596 - INFO - Episode 226 - Volume: 12000.0 | Demanda: 300000.0
2025-07-12 20:20:30,528 - INFO - Episode 227 - Volume: 18000.0 | Demanda: 300000.0
